t [s],error [m],run_obj,accum_obj
5.611099999999989,3.865953681391808,1519.209786666687,19195.497964364156
5.661099999999989,3.862798194991781,1516.7709895231762,19347.175063316474
5.7110999999999885,3.8596466060763457,1514.3371923796656,19498.608782554442
5.761099999999988,3.8564989242007504,1511.9083952361545,19649.79962207806
5.811099999999988,3.8533551589396007,1509.4845980926436,19800.748081887323
5.861099999999988,3.85021531988684,1507.0658009491324,19951.454661982236
5.911099999999988,3.847079416655733,1504.6520038056212,20101.919862362796
5.961099999999988,3.843947458878842,1502.2432066621107,20252.144183029006
6.0110999999999875,3.8408194562080107,1499.8394095185997,20402.128123980867
6.061099999999987,3.8376954183143415,1497.440612375089,20551.872185218377
6.111099999999987,3.8345753548881754,1495.0468152315777,20701.376866741535
6.161099999999987,3.8314592756390704,1492.6580180880671,20850.642668550343
6.211099999999987,3.8283471902957755,1490.2742209445557,20999.6700906448
6.261099999999987,3.8252391086062123,1487.895423801045,21148.459633024904
6.311099999999986,3.822135040337447,1485.5216266575337,21297.011795690658
6.361099999999986,3.8190349952756693,1483.152829514023,21445.32707864206
6.411099999999986,3.8159389832261628,1480.7890323705121,21593.405981879114
6.461099999999986,3.8128470140132835,1478.4302352270013,21741.249005401813
6.511099999999986,3.80975909748043,1476.07643808349,21888.85664921016
6.5610999999999855,3.8066752434900186,1473.7276409399794,22036.229413304158
6.611099999999985,3.803595461923453,1471.3838437964685,22183.367797683804
6.661099999999985,3.800519762681096,1469.0450466529576,22330.2723023491
6.711099999999985,3.7974481556822424,1466.7112495094464,22476.943427300048
6.761099999999985,3.7943806508650866,1464.3824523659357,22623.38167253664
6.811099999999985,3.791317258186691,1462.0586552224247,22769.587538058884
6.861099999999984,3.788257987622957,1459.7398580789134,22915.561523866774
6.911099999999984,3.7852028491685923,1457.4260609354026,23061.304129960314
6.961099999999984,3.782151852837075,1455.117263791892,23206.815856339505
7.011099999999984,3.779105008660623,1452.8134666483804,23352.09720300434
7.061099999999984,3.7760623266901594,1450.51466950487,23497.14866995483
7.1110999999999835,3.7730238169952743,1448.2208723613587,23641.970757190964
7.161099999999983,3.7699894896641926,1445.932075217848,23786.56396471275
7.211099999999983,3.766959354803735,1443.648278074337,23930.928792520182
7.261099999999983,3.76393342253928,1441.369480930826,24075.065740613267
7.311099999999983,3.760911703014729,1439.0956837873148,24218.975308991998
7.361099999999983,3.7578942063924634,1436.826886643804,24362.657997656377
7.4110999999999825,3.754880942853306,1434.5630895002935,24506.114306606407
7.461099999999982,3.7518719225964823,1432.3042923567825,24649.344735842085
7.511099999999982,3.7488671558395765,1430.0504952132717,24792.34978536341
7.561099999999982,3.7458666528184907,1427.80169806976,24935.129955170385
7.611099999999982,3.7428704237874033,1425.5579009262494,25077.68574526301
7.661099999999982,3.739878479018721,1423.319103782738,25220.017655641284
7.711099999999981,3.7368908288030407,1421.0853066392276,25362.126186305206
7.761099999999981,3.7339074834490966,1418.8565094957164,25504.011837254777
7.811099999999981,3.730928453283721,1416.6327123522058,25645.67510849
7.861099999999981,3.727953748651792,1414.4139152086948,25787.116500010867
7.911099999999981,3.7249833799161896,1412.200118065184,25928.336511817386
7.9610999999999805,3.722017357457744,1409.9913209216727,26069.335643909555
8.011099999999981,3.719055691675189,1407.787523778162,26210.114396287372
8.061099999999982,3.716098392985109,1405.588726634651,26350.67326895084
8.111099999999983,3.7131454718218895,1403.3949294911401,26491.012761899954
8.161099999999983,3.7101969386376634,1401.206132347629,26631.133375134716
8.211099999999984,3.7072528039022616,1399.0223352041182,26771.03560865513
8.261099999999985,3.704313078103155,1396.8435380606072,26910.71996246119
8.311099999999985,3.7013777717454026,1394.6697409170963,27050.1869365529
